description,rotation_type,factor_level_name,johnston_rotation_code,alternative_name,years,treatment_factor,treatment_factor_rdfType,frequency
"continuous rotation, three years arable Treatment crops, including one year root crop, followed by two arable Test crops. This became AF",arable ,Ar,AF,A,1938-1974,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"continuous rotation, three years arable Treatment crops, including one year hay, followed by two arable Test crops. This became AB",arable ,Ah,AB,AH,1938-1974,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"continuous rotation, three years grazed grass/clover ley Treatment crops, followed by two arable Test crops. This became 3-yr cut ley-arable, then Ln3",3-yr grazed ley-arable,L,LN3,LEY,1938-1968,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"continuous rotation, three years cut grass/clover ley Treatment crops, followed by two arable Test crops. This followed 3-yr grazed ley-arable, then became Ln3",3-yr cut ley-arable,L,LN3,LEY,1969-1974,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"continuous rotation, three years lucerne ley Treatment crops, followed by two arable Test crops.  Lu (lucerne) then S (sainfoin) 1964-67 then CL (red clover ley) 1971-74. This became Lc3",3-yr lucerne ley-arable,Lu,LC3,CLO,1938-1974,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"alternating rotation, starting with rotation Ar, then rotation Lu, then Ah, then L. This became LLn8_1st_cycle",alternating arable and ley-arable,Ar/Lu,LN8,,1938-1974,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",20 year cycle
"alternating rotation, starting with rotation Ah, then rotation L, then Ar then Lu. This became LLc8_1st_cycle",alternating arable and ley-arable,Ah/L,LC8,,1938-1974,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",20 year cycle
"alternating rotation, starting with rotation Lu, then rotation Ar, then L, then, Ah. This became LLn8_2nd_cycle",alternating arable and ley-arable,Lu/Ar,LN8,,1938-1979,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",20 year cycle
"alternating rotation, starting with rotation L, then rotation Ah, then Lu, then Ar. This became LLc8_2nd_cycle",alternating arable and ley-arable,L/Ah,LC8,,1938-1979,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",20 year cycle
"(replaced Ar); two years fallow and one arable Treatment crop, followed by two arable Test crops. This changed to AM",arable,AF,AF,,1975-1999,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"(replaced Ah); three arable Treatment crops, followed by two arable Test crops. This changed to ABe ",arable ,AB,AB,,1975-1999,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"(replaced AF); three years arable Treatment crops, R, BE, M followed by two arable Test crops.  This changed to AO",arable,AM,AF,,2000-2020,crop rotation,"
http://aims.fao.org/aos/agrovoc/c_6662 ",5 year cycle
"(replaced AB): three years arable Treatment crops R, M, BE followed by two arable Test crops",arable,ABe,AB,,2000-2020,crop rotation,http://aims.fao.org/aos/agrovoc/c_6662 ,5 year cycle
"(replaced L); three years grass ley with N fertilizer Treatment crops, followed by two arable Test crops",3-yr grass with N ley-arable ,Ln3,LN3,LN3,1973-2020,crop rotation,http://aims.fao.org/aos/agrovoc/c_6662 ,5 year cycle
"(replaced Lu); three years grass/clover ley Treatment crops, followed by two arable Test crops",3-yr grass/clover ley-arable,Lc3,LC3,LC3,1973-2020,crop rotation,http://aims.fao.org/aos/agrovoc/c_6662 ,5 year cycle
